# seq: 0
# timestamp: 1683813944.259223
# frame_id: map
# x, y, z, x, y, z, w
-14.0878 14.2657 0 0 0 -0.00292965 0.999996 
-14.0828 14.2656 0 0 0 -0.00268552 0.999996 
-14.0778 14.2656 0 0 0 -0.00268552 0.999996 
-14.0728 14.2656 0 0 0 -0.00256376 0.999997 
-14.0678 14.2656 0 0 0 -0.00244168 0.999997 
-14.0628 14.2655 0 0 0 -0.00244138 0.999997 
-14.0578 14.2655 0 0 0 -0.00231932 0.999997 
-14.0528 14.2655 0 0 0 -0.00207518 0.999998 
-14.0478 14.2655 0 0 0 -0.00195311 0.999998 
-14.0428 14.2655 0 0 0 -0.00195311 0.999998 
-14.0378 14.2654 0 0 0 -0.00195311 0.999998 
-14.0328 14.2654 0 0 0 -0.00183105 0.999998 
-14.0278 14.2654 0 0 0 -0.00170898 0.999999 
-14.0228 14.2654 0 0 0 -0.00158691 0.999999 
-14.0178 14.2654 0 0 0 -0.00146484 0.999999 
-14.0128 14.2654 0 0 0 -0.00146484 0.999999 
-14.0078 14.2653 0 0 0 -0.00146484 0.999999 
-14.0028 14.2653 0 0 0 -0.00134277 0.999999 
-13.9978 14.2653 0 0 0 -0.0012207 0.999999 
-13.9928 14.2653 0 0 0 -0.0012207 0.999999 
-13.9878 14.2653 0 0 0 -0.0012207 0.999999 
-13.9828 14.2653 0 0 0 -0.00109863 0.999999 
-13.9778 14.2653 0 0 0 -0.00109863 0.999999 
-13.9728 14.2653 0 0 0 -0.00109863 0.999999 
-13.9678 14.2652 0 0 0 -0.000976561 1 
-13.9628 14.2652 0 0 0 -0.000854491 1 
-13.9578 14.2652 0 0 0 -0.000854491 1 
-13.9528 14.2652 0 0 0 -0.000854491 1 
-13.9478 14.2652 0 0 0 -0.000732421 1 
-13.9428 14.2652 0 0 0 -0.000732421 1 
-13.9378 14.2652 0 0 0 -0.000732421 1 
-13.9328 14.2652 0 0 0 -0.000732421 1 
-13.9278 14.2652 0 0 0 -0.000732421 1 
-13.9228 14.2652 0 0 0 -0.000610351 1 
-13.9178 14.2652 0 0 0 -0.000610351 1 
-13.9128 14.2652 0 0 0 -0.000610351 1 
-13.9078 14.2652 0 0 0 -0.000488281 1 
-13.9028 14.2651 0 0 0 -0.000488281 1 
-13.8978 14.2651 0 0 0 -0.000488281 1 
-13.8928 14.2651 0 0 0 -0.000488281 1 
-13.8878 14.2651 0 0 0 -0.000488281 1 
-13.8828 14.2651 0 0 0 -0.000488281 1 
-13.8778 14.2651 0 0 0 -0.000366211 1 
-13.8728 14.2651 0 0 0 -0.000366211 1 
-13.8678 14.2651 0 0 0 -0.000366211 1 
-13.8628 14.2651 0 0 0 -0.000366211 1 
-13.8578 14.2651 0 0 0 -0.000366211 1 
-13.8528 14.2651 0 0 0 -0.000244141 1 
-13.8478 14.2651 0 0 0 -0.000244141 1 
-13.8428 14.2651 0 0 0 -0.000366211 1 
