path_x path_y path_z
1475.781927 -4517.253411 0.000000
1484.099355 -4514.511127 0.000000
1492.411733 -4511.753575 0.000000
1500.719034 -4508.980764 0.000000
1509.021230 -4506.192704 0.000000
1517.318292 -4503.389405 0.000000
1525.610193 -4500.570876 0.000000
1533.896904 -4497.737125 0.000000
1542.178399 -4494.888164 0.000000
1550.454648 -4492.024001 0.000000
1558.725624 -4489.144647 0.000000
1566.991299 -4486.250110 0.000000
1575.251645 -4483.340400 0.000000
1583.506634 -4480.415528 0.000000
1591.756239 -4477.475504 0.000000
1600.000432 -4474.520336 0.000000
1608.239184 -4471.550036 0.000000
1616.472469 -4468.564613 0.000000
1624.700258 -4465.564077 0.000000
1632.922523 -4462.548438 0.000000
1641.139238 -4459.517707 0.000000
1649.350373 -4456.471893 0.000000
1657.555903 -4453.411008 0.000000
1665.755797 -4450.335060 0.000000
1673.950030 -4447.244062 0.000000
1682.138574 -4444.138022 0.000000
1690.321401 -4441.016953 0.000000
1698.498483 -4437.880863 0.000000
1706.669792 -4434.729764 0.000000
1714.835302 -4431.563666 0.000000
1722.994985 -4428.382580 0.000000
1731.148812 -4425.186517 0.000000
1739.296758 -4421.975487 0.000000
1747.438794 -4418.749502 0.000000
1755.574892 -4415.508571 0.000000
1763.705026 -4412.252707 0.000000
1771.829168 -4408.981920 0.000000
1779.947290 -4405.696221 0.000000
1788.059365 -4402.395621 0.000000
1796.165367 -4399.080132 0.000000
1804.265266 -4395.749764 0.000000
1812.359037 -4392.404529 0.000000
1820.446652 -4389.044437 0.000000
1828.528084 -4385.669501 0.000000
1836.603305 -4382.279732 0.000000
1844.672288 -4378.875141 0.000000
1852.735005 -4375.455739 0.000000
1860.791431 -4372.021539 0.000000
1868.841537 -4368.572551 0.000000
1876.885297 -4365.108788 0.000000
1884.922683 -4361.630260 0.000000
1892.953669 -4358.136981 0.000000
1900.978226 -4354.628961 0.000000
1908.996329 -4351.106212 0.000000
1917.007949 -4347.568746 0.000000
1925.013061 -4344.016576 0.000000
1933.011637 -4340.449713 0.000000
1941.003650 -4336.868169 0.000000
1948.989073 -4333.271956 0.000000
1956.967879 -4329.661087 0.000000
1964.940041 -4326.035573 0.000000
1972.905533 -4322.395427 0.000000
1980.864328 -4318.740660 0.000000
1988.816398 -4315.071287 0.000000
1996.761718 -4311.387318 0.000000
2004.700259 -4307.688766 0.000000
2012.631996 -4303.975644 0.000000
2020.556902 -4300.247963 0.000000
2028.474949 -4296.505738 0.000000
2036.386112 -4292.748980 0.000000
2044.290363 -4288.977702 0.000000
2052.187676 -4285.191916 0.000000
2060.078025 -4281.391636 0.000000
2067.961382 -4277.576875 0.000000
2075.837721 -4273.747644 0.000000
2083.707016 -4269.903958 0.000000
2091.569240 -4266.045828 0.000000
2099.424367 -4262.173269 0.000000
2107.272369 -4258.286292 0.000000
2115.113221 -4254.384912 0.000000
2122.946896 -4250.469141 0.000000
2130.773368 -4246.538993 0.000000
2138.592610 -4242.594480 0.000000
2146.404596 -4238.635617 0.000000
2154.209300 -4234.662416 0.000000
2162.006695 -4230.674891 0.000000
2169.796755 -4226.673055 0.000000
2177.579454 -4222.656921 0.000000
2185.354766 -4218.626505 0.000000
2193.122663 -4214.581818 0.000000
2200.883121 -4210.522874 0.000000
2208.636113 -4206.449688 0.000000
2216.381612 -4202.362273 0.000000
2224.119594 -4198.260642 0.000000
2231.850031 -4194.144810 0.000000
2239.572897 -4190.014791 0.000000
2247.288167 -4185.870598 0.000000
2254.995814 -4181.712245 0.000000
2262.695813 -4177.539746 0.000000
2270.388138 -4173.353116 0.000000
2278.072762 -4169.152369 0.000000
2285.749660 -4164.937518 0.000000
2293.418805 -4160.708578 0.000000
2301.080173 -4156.465563 0.000000
2308.733737 -4152.208488 0.000000
2316.379471 -4147.937367 0.000000
2324.017349 -4143.652213 0.000000
